,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,date_millesime
742,France,"This wine has acidity and a good balance between the fresh, crisp character and the richer yellow fruits. It is ready to drink.",,85,16.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Paul Reitz 2020  Saint-Véran,Chardonnay,Paul Reitz,2020
849,France,"This is a blend from most parts of the village, with fruit from 14 different parcels. It is solid and firm while also having great swathes of raspberries and red plums laced together with acidity. The aftertaste is perfumed with a fresh lift. Drink from 2022",,90,43.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Domaine Faiveley 2020  Gevrey-Chambertin,Pinot Noir,Domaine Faiveley,2020
850,France,"Young vines, planted in 2011, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2023.",Grèves Premier Cru,90,61.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jacques Prieur 2020 Grèves Premier Cru  (Beaune),Chardonnay,Domaine Jacques Prieur,2020
1179,France,"Packed with red fruits and crisp acidity, this lively wine has a tight mousse, while the red-currant fruitiness adds intense acidity. The wine is bright and ready to drink.",La Burgondie Rosé Brut,88,28.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Bailly-Lapierre NV La Burgondie Rosé Brut  (Crémant de Bourgogne),Sparkling Blend,Bailly-Lapierre,
1186,France,"This tangy wine has attractive acidity and a tightly coiled mineral texture. Apple and lemon flavors shoot right through the bright, crisp texture. Drink from 2021.",,88,19.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Cave des Vignerons de Buxy 2020  Mâcon-Villages,Chardonnay,Cave des Vignerons de Buxy,2020
1188,France,"From vines in the northern part of the appellation, this ripe wine conveys peaches and apricots laced with lime. A vibrant, mineral wine with swathes of fresh acidity, it can be drunk now.",,88,24.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Château de Fuissé 2020  Saint-Véran,Chardonnay,Château de Fuissé,2020
1189,France,"This rich wine is full and has a good balance of acidity and fruit. The lightly mineral texture gives bite and crispness. It is still a young, tight wine needing another few months. Drink from 2021.",,88,40.0,Burgundy,Chassagne-Montrachet,,Roger Voss,@vossroger,Château de Santenay 2020  Chassagne-Montrachet,Chardonnay,Château de Santenay,2020
1191,France,"Spicy, fruity and attractive, this balanced wine has acidity, tight minerality, yellow fruits and a richer texture. Full bodied and generous, it will age well. Drink from 2021.",Vers Cras,88,29.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Christophe Cordier 2020 Vers Cras  (Pouilly-Fuissé),Chardonnay,Christophe Cordier,2020
1201,France,"Fresh, crisp and fruity, this is an immediately drinkable wine. It has great freshness, lively acidity and perfumed apple fruitiness. The acidity cuts through brightly and leaves a vibrant, textured aftertaste.",,87,24.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Bouchard Père & Fils 2020  Pouilly-Fuissé,Chardonnay,Bouchard Père & Fils,2020
1446,France,"Crisp and packed with lively lemon-like acidity, this wine shows both minerality and intense fruitiness. Textured and tight, it has hints of yellow fruit in the background that will blossom as the wine develops. Drink from 2021.",La Maltroie Premier Cru,94,54.0,Burgundy,Chassagne-Montrachet,,Roger Voss,@vossroger,Alex Gambal 2020 La Maltroie Premier Cru  (Chassagne-Montrachet),Chardonnay,Alex Gambal,2020
1450,France,"From one of the highest premier cru vineyards comes a wine that has a cool edge, generous fruit and firm tannins. Those elements come together with black cherry flavors and a dry core, promising a serious future. Drink from 2023.",Aux Thorey Premier Cru,94,56.0,Burgundy,Nuits-St.-Georges,,Roger Voss,@vossroger,David Duband 2020 Aux Thorey Premier Cru  (Nuits-St.-Georges),Pinot Noir,David Duband,2020
1451,France,"This wine manages to combine firm structure with the finely perfumed fruit associated with Chambolle-Musigny. It's rich, fruity, lifted by acidity and held together by solid tannins. Impressive and full bodied, it's a wine to age. Drink from 2024.",Les Sentiers Premier Cru,94,74.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,David Duband 2020 Les Sentiers Premier Cru  (Chambolle-Musigny),Pinot Noir,David Duband,2020
1453,France,"This dense and structured wine comes from a small walled vineyard within the larger Les Vignes Franches premier cru, partially owned by Louis Jadot. Robust tannins frame its rich, juicy black fruit, showing potential for long aging. Drink from 2024.",Clos des Ursules Premier Cru,94,58.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2020 Clos des Ursules Premier Cru  (Beaune),Pinot Noir,Louis Jadot,2020
1463,France,"This wine comes from a vineyard owned by the Gagey situated in the northern part of Nuits-Saint-Georges, close to Vosne-Romanée. It has firm structure and a perfumed character that is already enticing. Richly fruity with juicy acidity, it will be impressive as it ages. Drink from 2023.",Les Boudots Premier Cru,93,72.0,Burgundy,Nuits-St.-Georges,,Roger Voss,@vossroger,Louis Jadot 2020 Les Boudots Premier Cru  (Nuits-St.-Georges),Pinot Noir,Louis Jadot,2020
1889,France,"From old vines, at least 50 years old, this shows good concentration, giving a dense, ripe, rounded wine full of green apple fruits, hints of vanilla and streaks of minerality.",Les Vénérables,89,37.0,Burgundy,Chablis,,Roger Voss,@vossroger,La Chablisienne 2011 Les Vénérables  (Chablis),Chardonnay,La Chablisienne,2011
1901,France,"This is a cool cru, which shows even in this great year with its structure, austerity and steely character. It makes it old-style Chablis, with its green fruits and lively, poised freshness.",Côte de Léchet Premier Cru,89,42.0,Burgundy,Chablis,,Roger Voss,@vossroger,La Chablisienne 2011 Côte de Léchet Premier Cru  (Chablis),Chardonnay,La Chablisienne,2011
2026,France,"With touches of vanilla and caramel as well as ripe yellow fruits, this is a warm, generous Chardonnay. It has freshness from the citrus edge and a soft texture. Straightforward, it is an open and ready-to-drink wine.",,87,19.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Louis Jadot 2018  Mâcon-Villages,Chardonnay,Louis Jadot,2018
2227,France,"At this stage, the wine is all dark structure and very firm. It will need time to develop its full potential as an intensely rich wine. Concentrated and firm, it is powered by tannins as well as sweet red fruits. So age for five years at least.",Petite Chapelle Premier Cru,94,82.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Louis Jadot 2015 Petite Chapelle Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Jadot,2015
2244,France,"While the aromas of this young wine reveal considerable toast, on the palate the wine brings forward the ripe apricot and mango flavors to go with that wood. As it matures, these elements will coalesce with the taut, tense mineral texture into an superb, ageworthy terroir-driven wine.",Les Combettes Premier Cru,94,178.0,Burgundy,Puligny-Montrachet,,Roger Voss,@vossroger,Domaine Leflaive 2015 Les Combettes Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive,2015
2245,France,"This rich wine balances ripe yellow fruits with intense citrus acidity in a harmonious whole. Its structure is laden with minerality, toast and a smooth, delicious creamy aftertaste.",Les Pucelles Premier Cru,94,203.0,Burgundy,Puligny-Montrachet,,Roger Voss,@vossroger,Domaine Leflaive 2015 Les Pucelles Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive,2015
2359,France,"Full-bodied wine with ripe pear and red apple flavors, laced with delicate acidity. It's an elegant wine, a fine balance with a more mineral, tight texture as a counterpoint. Drink from 2018.",Château de Chamirey,88,33.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaines Devillard 2017 Château de Chamirey  (Mercurey),Chardonnay,Domaines Devillard,2017
2360,France,"A smooth and rounded wine, its ripe plum and blueberry flavors well integrated into the soft tannins and sweet acidity. Drinkable now, but worth waiting for two more years.",Château de Chamirey,88,33.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaines Devillard 2017 Château de Chamirey  (Mercurey),Pinot Noir,Domaines Devillard,2017
2361,France,"Very dark, structured wine, with coffee as well as fruit flavors. The wood comes through firmly producing a solid, very dry character. The more juicy black currant fruits are still to show well. So wait to drink until 2019.",Domaine de la Ferté Premier Cru Servoisine,88,36.0,Burgundy,Givry,,Roger Voss,@vossroger,Domaines Devillard 2017 Domaine de la Ferté Premier Cru Servoisine  (Givry),Pinot Noir,Domaines Devillard,2017
2492,France,"This wine is fresh, perfumed with a juicy red-fruit character. It offers red cherries, with a soft texture and acidity. The great fruitiness leads to a bright, crisp aftertaste.",,88,29.0,Burgundy,Chorey-lès-Beaune,,Roger Voss,@vossroger,Joseph Drouhin 2018  Chorey-lès-Beaune,Pinot Noir,Joseph Drouhin,2018
2682,France,"Givry is one of the unsung values in Burgundy. This ripe and structured wine shows why. It has weight, a firm texture and red plum and strawberry fruit flavors. All these elements are held together by a dark sense of tannin and fine acidity.",,90,39.0,Burgundy,Givry,,Roger Voss,@vossroger,Antonin Rodet 2016  Givry,Pinot Noir,Antonin Rodet,2016
2895,France,"In this case, Vieilles Vignes (old vines) only means vines over 20 years. The wine is soft, rounded and full of red cherry fruitiness. Judicious wood aging has rounded the wine out while leaving all its fruit intact. It can be drunk now, but will be better from 2020.",Vieilles Vignes,86,25.0,Burgundy,Bourgogne Hautes Côtes de Nuits,,Roger Voss,@vossroger,Manuel Olivier 2018 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),Pinot Noir,Manuel Olivier,2018
2897,France,"This light-colored wine has a spicy character that points up the tannins as well as the red berry fruits. It has a light feeling, with refreshing acidity that shows strongly at the end. It's ready to drink.",Buissonnier,86,23.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Vignerons de Buxy 2018 Buissonnier  (Mercurey),Pinot Noir,Vignerons de Buxy,2018
2909,France,"One of the lesser-known of the many Mâcon appellations, Péronne is close to Clessé. The wine is smooth, ripe and fruity, with a creamed pear and lightly lemon flavor. With a hint of minerality, it could age until 2020.",Les Villages de Jaffelin,86,19.0,Burgundy,Mâcon-Péronne,,Roger Voss,@vossroger,Jaffelin 2019 Les Villages de Jaffelin  (Mâcon-Péronne),Chardonnay,Jaffelin,2019
2926,France,"In a piece of French wine shorthand, the new appellation of Saint-Bris takes in the old Sauvignon de Saint-Bris wines. The style, though, hasn't changed: an attractive, if rustic type, with crisp gooseberry and grapefruit flavors and a fresh burst of acidity. Screwcap.",Sauvignon de Saint-Bris,84,17.0,Burgundy,Saint-Bris,,Roger Voss,@vossroger,Simonnet-Febvre 2013 Sauvignon de Saint-Bris  (Saint-Bris),Sauvignon Blanc,Simonnet-Febvre,2013
2959,France,"A ripe, crisp, very fresh Chablis bursting with green fruits, with a light layer of caramel and green herbs. Delicious now.",,86,29.0,Burgundy,Chablis,,Roger Voss,@vossroger,Simonnet-Febvre 2012  Chablis,Chardonnay,Simonnet-Febvre,2012
3063,France,"Structured, concentrated, a wine that shows power from both fruit and tannins. The opulent strawberry flavors are paralleled by firm, dry tannins. As the combination comes together, this will become a glorious wine.",,95,148.0,Burgundy,Charmes-Chambertin,,Roger Voss,@vossroger,Joseph Drouhin 2014  Charmes-Chambertin,Pinot Noir,Joseph Drouhin,2014
3068,France,"Big, full-bodied wine, the great tannins dominating the underlying red fruit. It's firmly concentrated, intense, a powerhouse of dense texture and obviously a wine that will need aging. Give it 5–6 years.",,94,166.0,Burgundy,Charmes-Chambertin,,Roger Voss,@vossroger,Chanson Père et Fils 2014  Charmes-Chambertin,Pinot Noir,Chanson Père et Fils,2014
3069,France,"Very dense wine, its tannins solid and concentrated. The structure is the leader here, with the young fruit showing through as black plum skins and crushed strawberries. This is a firmly tannic wine, needing aging.",,94,178.0,Burgundy,Clos de Vougeot,,Roger Voss,@vossroger,Chanson Père et Fils 2014  Clos de Vougeot,Pinot Noir,Chanson Père et Fils,2014
3071,France,"Beautiful lemon-scented wine, balancing rich butter and apricot flavors with intense, pure acidity. The wine at this stage is toast and fruit, still coalescing into its long-term future.",Clavoillon Premier Cru,94,133.0,Burgundy,Puligny-Montrachet,,Roger Voss,@vossroger,Domaine Leflaive 2014 Clavoillon Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive,2014
3072,France,"The aromas of smoky new wood follow through to the wood flavors on the palate. However, it's the powerful sweet black cherry and red berry fruit flavors, layered with fruit tannins and acidity, that are driving this impressive wine. For aging at least six years.",Clos des Mouches Premier Cru,94,91.0,Burgundy,Beaune,,Roger Voss,@vossroger,Joseph Drouhin 2014 Clos des Mouches Premier Cru  (Beaune),Pinot Noir,Joseph Drouhin,2014
3144,France,"Typical Beaune in its round, soft character. If the tannins are not particularly powerful, it still shows a generous nature, with super-ripe fruits supported by some dryness. The finish is jammy, ripe, a salad of red berries.",Les Marconnets Premier Cru,89,54.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Aîné & Fils 2011 Les Marconnets Premier Cru  (Beaune),Pinot Noir,Bouchard Aîné & Fils,2011
3331,France,"This wine is missing great depth of flavor. It has bright acidity and hints of peach fruit flavors, but remains dull.",,84,21.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Joseph Drouhin 2018  Pouilly-Fuissé,Chardonnay,Joseph Drouhin,2018
3333,France,"This is a generous, rounded and very perfumed wine. Candy and bubble gum flavors give sweetness that contrasts with the acidity.",Château de Messey Les Crets,84,18.0,Burgundy,Mâcon-Chardonnay,,Roger Voss,@vossroger,Demessey 2018 Château de Messey Les Crets  (Mâcon-Chardonnay),Chardonnay,Demessey,2018
3335,France,"The wine is tight, green and herbal. It has some fruitiness, but that is suppressed by general underripeness. The tannins are hard at the end.",,84,23.0,Burgundy,Chorey-lès-Beaune,,Roger Voss,@vossroger,Joseph Drouhin 2017  Chorey-lès-Beaune,Pinot Noir,Joseph Drouhin,2017
3342,France,"This tight wine has red fruit acidity without the richness. With its green edge, it's likely to remain full of acidity even as it matures.",,84,23.0,Burgundy,Ladoix,,Roger Voss,@vossroger,Pierre André 2017  Ladoix,Pinot Noir,Pierre André,2017
3347,France,"A firm wine that is mainly tannin without a great fruit element. It is dry, tight and hard-edged.",Les Hâtes,84,29.0,Burgundy,Santenay,,Roger Voss,@vossroger,Demessey 2017 Les Hâtes  (Santenay),Pinot Noir,Demessey,2017
3348,France,"Tropical in character, this wine has soft acidity and an attractive texture. With ripe mango flavor, it's full in the mouth and ready to drink.",Vieilles Vignes,84,22.0,Burgundy,Viré-Clessé,,Roger Voss,@vossroger,Jean-Marie Challand 2018 Vieilles Vignes  (Viré-Clessé),Chardonnay,Jean-Marie Challand,2018
3352,France,"Tight, acidic and very crisp, it's propelled forward by lemon zest and grapefruit flavors. It is bright, fruity and light in texture.",,84,17.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Pierre André 2018  Saint-Véran,Chardonnay,Pierre André,2018
3353,France,"This soft, open wine has a light fruit character with attractive acidity and a crisp aftertaste. Drink now.",Les Tilles,84,17.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Jean-Marie Challand 2018 Les Tilles  (Mâcon-Villages),Chardonnay,Jean-Marie Challand,2018
3690,France,"Soft and full-bodied, this offers bright apple and citrus fruits layered with toast from wood aging. Under the broad exterior, the wine is developing more tangy, zesty fruits and a tight texture. It needs to age to bring everything together. Drink from 2021.",Vaillons Premier Cru,91,36.0,Burgundy,Chablis,,Roger Voss,@vossroger,La Chablisienne 2018 Vaillons Premier Cru  (Chablis),Chardonnay,La Chablisienne,2018
3691,France,"This is an austere wine, packed with tannins and tight acidity. The red fruits are right at the back behind the firm structure. A mineral character supports the dusty texture and suggests long-term aging. Drink from 2022.",Cent-Vignes Premier Cru,91,51.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2018 Cent-Vignes Premier Cru  (Beaune),Pinot Noir,Albert Morot,2018
3693,France,"Already showing some toasty maturity, this blend of Chardonnay and Pinot Noir is delicate, yeasty and rounded. Coming from northern Burgundy, it has a cool climate feel, textured with orange zest and the crispest acidity. It is ready to drink, although another few years in bottle will improve it even more.",Egarade,91,33.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Bailly-Lapierre 2017 Egarade  (Crémant de Bourgogne),Champagne Blend,Bailly-Lapierre,2017
3963,France,"A solid, dense wine, packed with tannins and with a dry core. The soft fruit has flavors of strawberry, hinting at richness to come. At this early stage, tannins and acidity are still forming. Hold for five years.",Les Beaumonts Premier Cru,90,122.0,Burgundy,Vosne-Romanée,,Roger Voss,@vossroger,Louis Latour 2014 Les Beaumonts Premier Cru  (Vosne-Romanée),Pinot Noir,Louis Latour,2014
3964,France,"There is a voluptuous edge to this generous wine. It has rich flavors, some strawberry and plum juice. The final extreme freshness shows through the layer of firm tannins. For aging over 4–5 years.",Les Damodes Premier Cru,90,88.0,Burgundy,Nuits-St.-Georges,,Roger Voss,@vossroger,Louis Latour 2014 Les Damodes Premier Cru  (Nuits-St.-Georges),Pinot Noir,Louis Latour,2014
4032,France,"A blend of half and half Chardonnay and Aligoté, this is a mineral textured wine that is shot through with acidity and green fruits. It is crisp, light and bright, and refreshingly ready to drink.",Blanc de Blancs Brut,88,49.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Cave de Bissey NV Blanc de Blancs Brut  (Crémant de Bourgogne),Sparkling Blend,Cave de Bissey,
4036,France,"The wine is ripe, balanced and likely to be ready to drink soon. With its plump fruitiness and texture, it is a full wine. Rich red-berry fruits are gently balanced by acidity and supported with a light layer of tannins. It will be very drinkable from late 2021.",Charmes,88,26.0,Burgundy,Santenay,,Roger Voss,@vossroger,Domaine Julie Belland 2020 Charmes  (Santenay),Pinot Noir,Domaine Julie Belland,2020
4037,France,"The wine comes from the highest point of the slope above Santenay, giving it an attractive cool and crisp character. With its delicious, refreshing acidity as well as ripe pear flavors it is balanced, minerally and with fine acidity. The aftertaste confirms that the wine is ready to drink.",Comme Dessus,88,27.0,Burgundy,Santenay,,Roger Voss,@vossroger,Domaine Julie Belland 2020 Comme Dessus  (Santenay),Chardonnay,Domaine Julie Belland,2020
4141,France,"This ripe wine is full of minerality and rich white and yellow fruit. Still young, it's deliciously creamy and bright, showing great potential for aging into something serious. Drink from 2024.",Preuses Grand Cru,92,50.0,Burgundy,Chablis,,Roger Voss,@vossroger,Simonnet-Febvre 2020 Preuses Grand Cru  (Chablis),Chardonnay,Simonnet-Febvre,2020
4142,France,"This normally cool Premier Cru has done particularly well in the 2019 vintage. This bottling is ripe and full of white fruit, while keeping a strong line of fine, tight acidity. It will be ready to drink soon, so only wait until 2022.",Côte de Lechet Premier Cru,92,31.0,Burgundy,Chablis,,Roger Voss,@vossroger,Simonnet-Febvre 2021 Côte de Lechet Premier Cru  (Chablis),Chardonnay,Simonnet-Febvre,2021
4184,France,"From vineyards outside the main village appellations of the Côte de Nuits, this is a firm, almost austere wine. It has a dry extract character that is suppressing the red plum and berry fruit flavors. Give it time, although it is probably always going to be dry.",,87,38.0,Burgundy,Côtes de Nuits Villages,,Roger Voss,@vossroger,Louis Max 2019  Côtes de Nuits Villages,Pinot Noir,Louis Max,2019
4204,France,"Produced by the cooperative of the Hautes Côtes, this wine is bright and fruity. It has light tannins and warm, red cherry character. With its acidity and structure it could age, although not for long. Drink from 2022.",,87,18.0,Burgundy,Bourgogne Hautes Côtes de Beaune,,Roger Voss,@vossroger,Nuiton-Beaunoy 2021  Bourgogne Hautes Côtes de Beaune,Pinot Noir,Nuiton-Beaunoy,2021
4208,France,"From the hills to the west of Nuits-St.-Georges, this is a crisp, red berry-flavored wine. It has light tannins and juicy, perfumed fruit—all in balance and ready to drink soon, from 2022.",,87,21.0,Burgundy,Bourgogne Hautes Côtes de Nuits,,Roger Voss,@vossroger,Pierre Gruber 2020  Bourgogne Hautes Côtes de Nuits,Pinot Noir,Pierre Gruber,2020
4239,France,"The wine is ripe with a fine mix of generous fruits and layers of toast. It is an opulent wine, full of fruitiness and with a crisper side from juicy acidity. Produced from 48-year-old vines, it has some fine concentration that gives the wine extra richness. Drink from 2021.",,88,27.0,Burgundy,Saint-Aubin,,Roger Voss,@vossroger,Roche de Bellene 2020  Saint-Aubin,Chardonnay,Roche de Bellene,2020
4364,France,"Ripe and soft, with a texture that is well balanced, this wine has peach and apricot flavors marrying well with the layers of wood. There is a strong, fresh element to give the wine a final lift.",Clos de France,91,46.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Roger Lassarat 2014 Clos de France  (Pouilly-Fuissé),Chardonnay,Roger Lassarat,2014
4368,France,"A great swathe of rich, well–defined fruit and a complex texture of pear and apple skins along with the freshest grapefruit and citrus character. This is an intense wine, the fruit fully in focus.",Domaine la Soufrandière Climat les Quarts,91,56.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Bret Brothers 2014 Domaine la Soufrandière Climat les Quarts  (Saint-Véran),Chardonnay,Bret Brothers,2014
4371,France,"Initially soft, this wine then reveals a firmer structure, and a salty and mineral texture. There is an element of toastiness, rounding out the crisp apple and citrus fruit flavors. A cool, elegant wine.",Les Caradeux Premier Cru,91,67.0,Burgundy,Pernand-Vergelesses,,Roger Voss,@vossroger,Chanson Père et Fils 2013 Les Caradeux Premier Cru  (Pernand-Vergelesses),Chardonnay,Chanson Père et Fils,2013
4372,France,"A wine that is broad, feeling full-bodied, with weight, pear and quince fruit flavors. The wine is attractively plump, toast and acidity adding richness. It opens slowly to give a rich aftertaste.",Domaine des Deux Roches Rives de Longsault,91,35.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Collovray et Terrier 2013 Domaine des Deux Roches Rives de Longsault  (Saint-Véran),Chardonnay,Collovray et Terrier,2013
